1431 out of 4078 wrong corrections
('abouta', 'about a', ('about',))
('aboutit', 'about it', ('about',))
('aboutthe', 'about the', ['aboutthe'])
('abondons', 'abandons', ('abandon',))
('abortificant', 'abortifacient', ['abortificant'])
('abreviate', 'abbreviate', ('alleviate',))
('abreviation', 'abbreviation', ('abbreviations',))
('absail', 'abseil', ('sail',))
('absailing', 'abseiling', ('sailing',))
('abundacies', 'abundances', ['abundacies'])
('abundancies', 'abundances', ('abundance',))
('abutts', 'abuts', ('butts',))
('accidentaly', 'accidentally', ('accidental',))
('accidently', 'accidentally', ('accidental',))
('acclimitization', 'acclimatization', ['acclimitization'])
('accomadate', 'accommodate', ['accomadate'])
('accomadated', 'accommodated', ['accomadated'])
('accomadates', 'accommodates', ['accomadates'])
('accomadating', 'accommodating', ['accomadating'])
('accomadations', 'accommodations', ('accomodations',))
('accomdate', 'accommodate', ['accomdate'])
('accomodate', 'accommodate', ['accomodate'])
('accomodated', 'accommodated', ['accomodated'])
('accomodates', 'accommodates', ['accomodates'])
('accomodating', 'accommodating', ('accomodations',))
('accomodations', 'accommodations', ['accomodations'])
('accquainted', 'acquainted', ['accquainted'])
('acheives', 'achieves', ('achieve',))
('acknowledgeing', 'acknowledging', ['acknowledgeing'])
('acommodate', 'accommodate', ['acommodate'])
('acomplishments', 'accomplishments', ('accomplishment',))
('acordingly', 'accordingly', ['acordingly'])
('acquited', 'acquitted', ('acquired',))
('activites', 'activities', ['activites'])
('actualy', 'actually', ('actual',))
('acused', 'accused', ('abused',))
('acustom', 'accustom', ('custom',))
('acustommed', 'accustomed', ['acustommed'])
('addionally', 'additionally', ['addionally'])
('additinally', 'additionally', ['additinally'])
('additionaly', 'additionally', ('additional',))
('additonally', 'additionally', ['additonally'])
('addresable', 'addressable', ['addresable'])
('addresed', 'addressed', ('addreses',))
('adhearing', 'adhering', ('hearing',))
('adminstered', 'administered', ['adminstered'])
('adminstrate', 'administrate', ('adminstrator',))
('adminstration', 'administration', ['adminstration'])
('adminstrator', 'administrator', ['adminstrator'])
('admissability', 'admissibility', ['admissability'])
('admissable', 'admissible', ('admirable',))
('admited', 'admitted', ('admired',))
('admitedly', 'admittedly', ['admitedly'])
('adn', 'and', ['adn'])
('adquires', 'acquires', ('acquired',))
('adres', 'address', ('aires',))
('adresable', 'addressable', ['adresable'])
('adresing', 'addressing', ('dressing',))
('adress', 'address', ('dress',))
('adressable', 'addressable', ['adressable'])
('adressed', 'addressed', ('dressed',))
('adviced', 'advised', ('advice',))
('afair', 'affair', ('fair',))
('afficianados', 'aficionados', ('aficianado',))
('aforememtioned', 'aforementioned', ['aforememtioned'])
('aggaravates', 'aggravates', ['aggaravates'])
('aggreed', 'agreed', ('greed',))
('agian', 'again', ('asian',))
('agin', 'again', ('aging',))
('agravate', 'aggravate', ('amravati',))
('agre', 'agree', ('are',))
('agred', 'agreed', ('aged',))
('agregates', 'aggregates', ('aggregate',))
('agreing', 'agreeing', ('ageing',))
('agressively', 'aggressively', ['agressively'])
('agrieved', 'aggrieved', ('grieve',))
('ahev', 'have', ('the',))
('airporta', 'airports', ('airport',))
('albiet', 'albeit', ('albie',))
('alcoholical', 'alcoholic', ('alcoholics',))
('aledge', 'allege', ('pledge',))
('aledged', 'alleged', ('pledged',))
('aledges', 'alleges', ('sledges',))
('alege', 'allege', ('alegre',))
('aleged', 'alleged', ('legend',))
('alientating', 'alienating', ['alientating'])
('alledge', 'allege', ('allergy',))
('alledged', 'alleged', ('pledged',))
('alledgedly', 'allegedly', ['alledgedly'])
('allegedely', 'allegedly', ['allegedely'])
('allegedy', 'allegedly', ('allegory',))
('allegely', 'allegedly', ('allegory',))
('allopone', 'allophone', ['allopone'])
('allopones', 'allophones', ('allogenes',))
('alltime', 'all-time', ('anytime',))
('alltogether', 'altogether', ['alltogether'])
('alotted', 'allotted', ('plotted',))
('alowing', 'allowing', ('glowing',))
('alse', 'else', ('false',))
('altho', 'although', ('alto',))
('Amercia', 'America', ('america',))
('amerliorate', 'ameliorate', ['amerliorate'])
('ammend', 'amend', ('armed',))
('ammused', 'amused', ('abused',))
('anarchistm', 'anarchism', ('anarchist',))
('ancestory', 'ancestry', ('ancestors',))
('androgeny', 'androgyny', ('androgen',))
('annoint', 'anoint', ('annoying',))
('annoints', 'anoints', ['annoints'])
('annualy', 'annually', ('annual',))
('annuled', 'annulled', ('annexed',))
('anomolies', 'anomalies', ['anomolies'])
('anomolous', 'anomalous', ('anomolies',))
('anouncement', 'announcement', ('announcements',))
('ansalisation', 'nasalisation', ['ansalisation'])
('ansalization', 'nasalization', ['ansalization'])
('anthromorphization', 'anthropomorphization', ['anthromorphization'])
('antiapartheid', 'anti-apartheid', ['antiapartheid'])
('anual', 'annual', ('manual',))
('anulled', 'annulled', ('pulled',))
('anyother', 'any other', ('another',))
('aparent', 'apparent', ('parent',))
('apparantly', 'apparently', ['apparantly'])
('approachs', 'approaches', ('approach',))
('approproximate', 'approximate', ['approproximate'])
('aquainted', 'acquainted', ['aquainted'])
('aquire', 'acquire', ('squire',))
('aquitted', 'acquitted', ('quilted',))
('arbitarily', 'arbitrarily', ['arbitarily'])
('archaelogical', 'archaeological', ['archaelogical'])
('archaelogy', 'archaeology', ['archaelogy'])
('archetecturally', 'architecturally', ['archetecturally'])
('archimedian', 'archimedean', ['archimedian'])
('architechturally', 'architecturally', ['architechturally'])
('aready', 'already', ('ready',))
('arised', 'arose', ('raised',))
('armistace', 'armistice', ('armitage',))
('arogant', 'arrogant', ('argent',))
('arogent', 'arrogant', ('argent',))
('artical', 'article', ('critical',))
('artifical', 'artificial', ['artifical'])
('artifically', 'artificially', ('artifical',))
('asfar', 'as far', ('afar',))
('asign', 'assign', ('asian',))
('asphyxation', 'asphyxiation', ['asphyxation'])
('assasinated', 'assassinated', ('assassinate',))
('assasinates', 'assassinates', ('assassinate',))
('assasined', 'assassinated', ['assasined'])
('assertation', 'assertion', ('dissertation',))
('assisnate', 'assassinate', ('passionate',))
('assit', 'assist', ('asset',))
('assosication', 'assassination', ('association',))
('assualted', 'assaulted', ('assaulter',))
('assymetrical', 'asymmetrical', ['assymetrical'])
('asthetical', 'aesthetical', ['asthetical'])
('asume', 'assume', ('asme',))
('aswell', 'as well', ('swell',))
('atain', 'attain', ('again',))
('atempting', 'attempting', ('tempting',))
('athiest', 'atheist', ['athiest'])
('atribute', 'attribute', ('tribute',))
('attened', 'attended', ('attend',))
('austrailia', 'Australia', ('australia',))
('austrailian', 'Australian', ('australian',))
('authobiographic', 'autobiographic', ['authobiographic'])
('authorative', 'authoritative', ['authorative'])
('authoritive', 'authoritative', ['authoritive'])
('autochtonous', 'autochthonous', ['autochtonous'])
('autoctonous', 'autochthonous', ['autoctonous'])
('automaticly', 'automatically', ('automatic',))
('avengence', 'a vengeance', ('vengeance',))
('awared', 'awarded', ('award',))
('bandwith', 'bandwidth', ('sandwich',))
('basicly', 'basically', ('basic',))
('beachead', 'beachhead', ('beaches',))
('beastiality', 'bestiality', ['beastiality'])
('beaurocracy', 'bureaucracy', ['beaurocracy'])
('beaurocratic', 'bureaucratic', ['beaurocratic'])
('belligerant', 'belligerent', ['belligerant'])
('bellweather', 'bellwether', ['bellweather'])
('bemusemnt', 'bemusement', ['bemusemnt'])
('beneficary', 'beneficiary', ['beneficary'])
('bergamont', 'bergamot', ('pergamon',))
('Bernouilli', 'Bernoulli', ['bernouilli'])
('beseige', 'besiege', ('beside',))
('bilateraly', 'bilaterally', ('bilateral',))
('bizzare', 'bizarre', ['bizzare'])
('blaim', 'blame', ('claim',))
('blaimed', 'blamed', ('claimed',))
('blessure', 'blessing', ('pressure',))
('Blitzkreig', 'Blitzkrieg', ('blitzkrieg',))
('Bonnano', 'Bonanno', ('bonanno',))
('bouyancy', 'buoyancy', ('bouncy',))
('bouyant', 'buoyant', ('bryant',))
('boyant', 'buoyant', ('bryant',))
('Brasillian', 'Brazilian', ('brazillian',))
('breifly', 'briefly', ('reilly',))
('Britian', 'Britain', ('britain',))
('Brittish', 'British', ('british',))
('broacasted', 'broadcast', ('broadcaster',))
('broady', 'broadly', ('broad',))
('Buddah', 'Buddha', ('buddha',))
('Buddist', 'Buddhist', ('buddhist',))
('buoancy', 'buoyancy', ('bouncy',))
('busines', 'business', ['busines'])
('cacuses', 'caucuses', ('causes',))
('Cambrige', 'Cambridge', ('cambridge',))
('cannister', 'canister', ('bannister',))
('cannisters', 'canisters', ('bannister',))
('cannnot', 'cannot', ['cannnot'])
('cannotation', 'connotation', ('annotation',))
('cannotations', 'connotations', ('annotations',))
('Capetown', 'Cape Town', ['capetown'])
('capturd', 'captured', ('capture',))
('caracterized', 'characterized', ['caracterized'])
('Carmalite', 'Carmelite', ['carmalite'])
('Carnagie', 'Carnegie', ('carnegie',))
('Carnagie-Mellon', 'Carnegie-Mellon', ['carnagie-mellon'])
('Carnigie', 'Carnegie', ('carnegie',))
('Carnigie-Mellon', 'Carnegie-Mellon', ['carnigie-mellon'])
('Carribbean', 'Caribbean', ['carribbean'])
('Carribean', 'Caribbean', ['carribean'])
('Carthagian', 'Carthaginian', ('carthaginian',))
('cartilidge', 'cartilage', ('cartridge',))
('casion', 'caisson', ('casino',))
('casue', 'cause', ('case',))
('casues', 'causes', ('cases',))
('casuing', 'causing', ('casting',))
('catagorized', 'categorized', ('categorize',))
('catapiller', 'caterpillar', ['catapiller'])
('catapillers', 'caterpillars', ['catapillers'])
('catergorized', 'categorized', ('categorize',))
('Ceasar', 'Caesar', ('caesar',))
('Celcius', 'Celsius', ('calcium',))
('cellpading', 'cellpadding', ('cellaring',))
('cementary', 'cemetery', ('commentary',))
('cerimonious', 'ceremonious', ('acrimonious',))
('certaintly', 'certainly', ('certainty',))
('Champange', 'Champagne', ('champagne',))
('changable', 'changeable', ['changable'])
('charaterized', 'characterized', ['charaterized'])
('charistics', 'characteristics', ('charities',))
('cheif', 'chief', ('chef',))
('cheifs', 'chiefs', ('chefs',))
('chemicaly', 'chemically', ('chemical',))
('choosen', 'chosen', ('choose',))
('churchs', 'churches', ('church',))
('Cincinatti', 'Cincinnati', ('cincinnati',))
('Cincinnatti', 'Cincinnati', ('cincinnati',))
('clinicaly', 'clinically', ('clinical',))
('cmo', 'com', ('ceo',))
('co-incided', 'coincided', ['co-incided'])
('Coca Cola', 'Coca-Cola', ['cola', 'coca'])
('cognizent', 'cognizant', ['cognizent'])
('coincedentally', 'coincidentally', ['coincedentally'])
('collegue', 'colleague', ('college',))
('collegues', 'colleagues', ('colleges',))
('collonade', 'colonnade', ['collonade'])
('colonizators', 'colonizers', ['colonizators'])
('comemmorates', 'commemorates', ('commemorate',))
('comited', 'committed', ('limited',))
('comiting', 'committing', ('coming',))
('commemmorating', 'commemorating', ['commemmorating'])
('commerical', 'commercial', ['commerical'])
('commerically', 'commercially', ('commerical',))
('commericial', 'commercial', ['commericial'])
('commericially', 'commercially', ('commericial',))
('commmemorated', 'commemorated', ('commemorate',))
('communiation', 'communication', ['communiation'])
('comparitive', 'comparative', ['comparitive'])
('comparitively', 'comparatively', ('comparitive',))
('compatabilities', 'compatibilities', ['compatabilities'])
('compatablities', 'compatibilities', ['compatablities'])
('compatiblities', 'compatibilities', ['compatiblities'])
('completedthe', 'completed the', ['completedthe'])
('completetion', 'completion', ('competition',))
('comprable', 'comparable', ('computable',))
('conciders', 'considers', ('conifers',))
('concieted', 'conceited', ('concrete',))
('concieved', 'conceived', ['concieved'])
('conditionsof', 'conditions of', ('conditions',))
('confidentally', 'confidentially', ('confidently',))
('confids', 'confides', ('confits',))
('configureable', 'configurable', ['configureable'])
('conived', 'connived', ('convex',))
('conjuction', 'conjunction', ('conduction',))
('Conneticut', 'Connecticut', ['conneticut'])
('conotations', 'connotations', ('consolations',))
('conquerd', 'conquered', ('conquer',))
('conquerer', 'conqueror', ('conquered',))
